id,email,password,first_name,last_name,affiliation,role,is_activated,newsletter,previous_newsletter_state,facebook_id,twitter_id,linkedin_id,google_id,username,orcid_id,preferred_link,terms
19,test+gigadb19@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb19,CSIRO Livestock Industries,"",f,t,t,,,,,test+gigadb19@gigasciencejournal.com,,EBI,true
20,test+gigadb20@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb20,BGI,"",f,t,t,,,,,test+gigadb20@gigasciencejournal.com,,EBI,true
21,test+gigadb21@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb21,BGI,"",f,t,t,,,,,test+gigadb21@gigasciencejournal.com,,EBI,true
22,test+gigadb22@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb22,BGI,"",f,t,t,,,,,test+gigadb22@gigasciencejournal.com,,EBI,true
23,test+gigadb23@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb23,BGI,"",f,t,t,,,,,test+gigadb23@gigasciencejournal.com,,EBI,true
24,test+gigadb24@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb24,BGI Shenzhen,"",f,t,t,,,,,test+gigadb24@gigasciencejournal.com,,EBI,true
25,test+gigadb25@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb25,BGI Shenzhen,"",f,t,t,,,,,test+gigadb25@gigasciencejournal.com,,EBI,true
27,peter@gigasciencejournal.com,51dc30ddc473d43a6011e9ebba6ca770,Peter,Li,GigaScience,admin,t,t,f,,,,,peter@gigasciencejournal.com,,EBI,true
28,test+gigadb28@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb28,GigaScience,user,f,t,f,,,,,test+gigadb28@gigasciencejournal.com,,EBI,true
29,test+gigadb29@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb29,GigaScience,user,f,t,f,,,,,test+gigadb29@gigasciencejournal.com,,EBI,true
30,test+gigadb30@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb30,BGI,user,f,t,f,,,,,test+gigadb30@gigasciencejournal.com,,EBI,true
32,test+gigadb32@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb32,What?,admin,t,f,t,,,,,test+gigadb32@gigasciencejournal.com,,EBI,true
33,test+gigadb33@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb33,What?,user,f,f,t,,,,,test+gigadb33@gigasciencejournal.com,,EBI,true
34,test+gigadb34@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb34,BGI,admin,t,t,f,,,,,test+gigadb34@gigasciencejournal.com,,EBI,true
35,test+gigadb35@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb35,BGI,user,t,t,f,,,,,test+gigadb35@gigasciencejournal.com,,EBI,true
36,only1chunts@gigasciencejournal.com,bcf839ae349d13cb0c3c4a9ec0cc243e,Chris,Hunter,BGI,user,t,t,f,,,,,only1chunts@gigasciencejournal.com,,EBI,true
37,jesse@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,Jesse,Siu,GigaScience,admin,t,t,f,,,,,jesse@gigasciencejournal.com,,EBI,true
38,chris@gigasciencejournal.com,bcf839ae349d13cb0c3c4a9ec0cc243e,Chris,Hunter,BGI,admin,t,t,t,,,,,chris@gigasciencejournal.com,,EBI,true
42,test+gigadb42@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb42,Cogini,admin,t,t,f,,,,,test+gigadb42@gigasciencejournal.com,,EBI,true
43,test+gigadb43@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb43,BGI,"",f,t,f,,,,,test+gigadb43@gigasciencejournal.com,,EBI,true
44,test+gigadb44@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb44,BGI,"",f,t,f,,,,,test+gigadb44@gigasciencejournal.com,,EBI,true
45,test+gigadb45@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb45,"Max Planck Institute for Human Cognitive and Brain Sciences, Leipzig, Germany","",f,t,f,,,,,test+gigadb45@gigasciencejournal.com,,EBI,true
46,test+gigadb46@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb46,GigaScience,user,t,t,f,,,,,test+gigadb46@gigasciencejournal.com,,EBI,true
47,test+gigadb47@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb47,BGI,"",f,t,f,,,,,test+gigadb47@gigasciencejournal.com,,EBI,true
48,test+gigadb48@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb48,BGI,user,t,t,f,,,,,test+gigadb48@gigasciencejournal.com,,EBI,true
49,test+gigadb49@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb49,none,user,f,f,t,,,,,test+gigadb49@gigasciencejournal.com,,EBI,true
50,test+gigadb50@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb50,Bogor Agricultural University (IPB),user,t,t,f,,,,,test+gigadb50@gigasciencejournal.com,,EBI,true
51,test+gigadb51@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb51,CRG-Centre for Genomic Regulation,user,t,t,f,,,,,test+gigadb51@gigasciencejournal.com,,EBI,true
52,test+gigadb52@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb52,UC Davis,"",f,t,f,,,,,test+gigadb52@gigasciencejournal.com,,EBI,true
53,test+gigadb53@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb53,Beijing Institute of Genomics,user,t,t,f,,,,,test+gigadb53@gigasciencejournal.com,,EBI,true
54,test+gigadb54@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb54,Ph.D,user,t,t,f,,,,,test+gigadb54@gigasciencejournal.com,,EBI,true
55,test+gigadb55@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb55,Howard Hughes Medical Institute,"",f,t,f,,,,,test+gigadb55@gigasciencejournal.com,,EBI,true
56,test+gigadb56@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb56,BGI,user,t,t,f,,,,,test+gigadb56@gigasciencejournal.com,,EBI,true
57,test+gigadb57@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb57,BGI-Shenzhen,"",f,t,f,,,,,test+gigadb57@gigasciencejournal.com,,EBI,true
58,test+gigadb58@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb58,University of Pittsburgh,user,t,t,f,,,,,test+gigadb58@gigasciencejournal.com,,EBI,true
59,test+gigadb59@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb59,BMC,user,t,t,f,,,,,test+gigadb59@gigasciencejournal.com,,EBI,true
60,test+gigadb60@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb60,National Institute for Family Planning,user,f,t,f,,,,,test+gigadb60@gigasciencejournal.com,,EBI,true
61,test+gigadb61@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb61,"Institute of Genetics and Developmental Biology, CAS",user,f,t,f,,,,,test+gigadb61@gigasciencejournal.com,,EBI,true
62,test+gigadb62@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb62,Wall-Eva,user,f,t,f,,,,,test+gigadb62@gigasciencejournal.com,,EBI,true
63,test+gigadb63@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb63,sustc,user,t,t,f,,,,,test+gigadb63@gigasciencejournal.com,,EBI,true
64,test+gigadb64@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb64,"National Museum of Natural History, Sofia, Bulgaria",user,t,t,f,,,,,test+gigadb64@gigasciencejournal.com,,EBI,true
65,test+gigadb65@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb65,BPRC,user,f,t,f,,,,,test+gigadb65@gigasciencejournal.com,,EBI,true
66,test+gigadb66@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb66,ERDC,user,t,t,f,,,,,test+gigadb66@gigasciencejournal.com,,EBI,true
67,test+gigadb67@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb67,EL,user,f,t,f,,,,,test+gigadb67@gigasciencejournal.com,,EBI,true
68,test+gigadb68@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb68,samsung genome institute,user,f,t,f,,,,,test+gigadb68@gigasciencejournal.com,,EBI,true
69,test+gigadb69@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb69,samsung genome institute,user,f,t,f,,,,,test+gigadb69@gigasciencejournal.com,,EBI,true
70,test+gigadb70@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb70,BPRC,user,f,t,f,,,,,test+gigadb70@gigasciencejournal.com,,EBI,true
71,test+gigadb71@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb71,China Agricultural University,user,t,t,f,,,,,test+gigadb71@gigasciencejournal.com,,EBI,true
72,test+gigadb72@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb72,GBPUAT Pantnagar,user,f,t,f,,,,,test+gigadb72@gigasciencejournal.com,,EBI,true
73,test+gigadb73@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb73,Dalhousie University,user,f,t,f,,,,,test+gigadb73@gigasciencejournal.com,,EBI,true
74,test+gigadb74@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb74,BGI Shenzhen,"",f,t,f,,,,,test+gigadb74@gigasciencejournal.com,,EBI,true
75,test+gigadb75@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb75,UKM,user,f,f,t,,,,,test+gigadb75@gigasciencejournal.com,,EBI,true
76,test+gigadb76@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb76,MNHN Paris,user,t,t,f,,,,,test+gigadb76@gigasciencejournal.com,,EBI,true
77,test+gigadb77@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb77,NEERI,user,f,f,t,,,,,test+gigadb77@gigasciencejournal.com,,EBI,true
78,test+gigadb78@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb78,pup patiala,user,f,t,f,,,,,test+gigadb78@gigasciencejournal.com,,EBI,true
79,test+gigadb79@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb79,University of Bremen,user,t,f,t,,,,,test+gigadb79@gigasciencejournal.com,,EBI,true
80,test+gigadb80@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb80,SBC,user,t,t,f,,,,,test+gigadb80@gigasciencejournal.com,,EBI,true
81,test+gigadb81@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb81,Independent,user,t,f,t,,,,,test+gigadb81@gigasciencejournal.com,,EBI,true
82,test+gigadb82@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb82,BPRC,user,f,t,f,,,,,test+gigadb82@gigasciencejournal.com,,EBI,true
83,test+gigadb83@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb83,BGI-Shenzhen,"",f,t,f,,,,,test+gigadb83@gigasciencejournal.com,,EBI,true
84,test+gigadb84@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb84,Fishery college of Jimei University,user,f,t,f,,,,,test+gigadb84@gigasciencejournal.com,,EBI,true
85,test+gigadb85@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb85,Fishery College of Jimei University,user,f,t,f,,,,,test+gigadb85@gigasciencejournal.com,,EBI,true
86,test+gigadb86@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb86,asia,user,f,t,f,,,,,test+gigadb86@gigasciencejournal.com,,EBI,true
87,test+gigadb87@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb87,123456789,user,f,t,f,,,,,test+gigadb87@gigasciencejournal.com,,EBI,true
88,test+gigadb88@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb88,asia,user,f,t,f,,,,,test+gigadb88@gigasciencejournal.com,,EBI,true
89,test+gigadb89@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb89,asia,user,f,t,f,,,,,test+gigadb89@gigasciencejournal.com,,EBI,true
90,test+gigadb90@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb90,nasacai,user,f,t,f,,,,,test+gigadb90@gigasciencejournal.com,,EBI,true
91,test+gigadb91@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb91,BGI,user,f,f,t,,,,,test+gigadb91@gigasciencejournal.com,,EBI,true
92,test+gigadb92@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb92,HKBU,user,t,t,f,,,,,test+gigadb92@gigasciencejournal.com,,EBI,true
93,test+gigadb93@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb93,Penn State,user,f,t,f,,,,,test+gigadb93@gigasciencejournal.com,,EBI,true
94,test+gigadb94@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb94,HKBU,user,f,f,t,,,,,test+gigadb94@gigasciencejournal.com,,EBI,true
95,test+gigadb95@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb95,Genome Institute of Singapore,user,t,f,t,,,,,test+gigadb95@gigasciencejournal.com,,EBI,true
102,test+gigadb102@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb102,Knight-lab colorado,"",f,t,f,,,,,test+gigadb102@gigasciencejournal.com,,EBI,true
103,test+gigadb103@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb103,"Vancouver Prostate Centre, UBC",user,t,f,t,,,,,test+gigadb103@gigasciencejournal.com,,EBI,true
105,test+gigadb105@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb105,University of Southern California,user,f,t,f,,,,,test+gigadb105@gigasciencejournal.com,,EBI,true
106,test+gigadb106@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb106,The Scripps Research Institute,user,t,f,t,,,,,test+gigadb106@gigasciencejournal.com,,EBI,true
107,test+gigadb107@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb107,FNL,user,t,t,f,,,,,test+gigadb107@gigasciencejournal.com,,EBI,true
108,test+gigadb108@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb108,CUHK,user,t,t,f,,,,,test+gigadb108@gigasciencejournal.com,,EBI,true
109,test+gigadb109@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb109,Australian Museum,user,t,t,f,,,,,test+gigadb109@gigasciencejournal.com,,EBI,true
110,test+gigadb110@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb110,University of Texas at Arlington,user,f,f,t,,,,,test+gigadb110@gigasciencejournal.com,,EBI,true
111,test+gigadb111@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb111,BGI-shenzhen,"",f,t,f,,,,,test+gigadb111@gigasciencejournal.com,,EBI,true
112,test+gigadb112@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb112,BGI-shenzhen,"",f,t,f,,,,,test+gigadb112@gigasciencejournal.com,,EBI,true
113,test+gigadb113@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb113,"","",f,f,f,,,,,test+gigadb113@gigasciencejournal.com,,EBI,true
114,test+gigadb114@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb114,DKP Genomics,user,t,t,f,,,,,test+gigadb114@gigasciencejournal.com,,EBI,true
115,test+gigadb115@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb115,China National GeneBank,"",f,t,f,,,,,test+gigadb115@gigasciencejournal.com,,EBI,true
116,test+gigadb116@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb116,University of Texas at Arlington,user,t,f,t,,,,,test+gigadb116@gigasciencejournal.com,,EBI,true
118,test+gigadb118@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb118,John Innes Centre,user,f,t,f,,,,,test+gigadb118@gigasciencejournal.com,,EBI,true
119,test+gigadb119@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb119,Northwest A&F University,user,t,t,f,,,,,test+gigadb119@gigasciencejournal.com,,EBI,true
120,test+gigadb120@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb120,Cold Spring Harbor Laboratory,user,t,f,t,,,,,test+gigadb120@gigasciencejournal.com,,EBI,true
121,test+gigadb121@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb121,Mr,user,t,t,f,,,,,test+gigadb121@gigasciencejournal.com,,EBI,true
122,rob@gigasciencejournal.com,e11aaac0066ea392aaa02bccf81d6a67,Rob,Davidson,GigaScience,user,t,t,f,,,,,rob@gigasciencejournal.com,,EBI,true
123,test+gigadb123@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb123,huaqiao university,user,t,t,f,,,,,test+gigadb123@gigasciencejournal.com,,EBI,true
124,test+gigadb124@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb124,North Carolina State University,user,f,f,t,,,,,test+gigadb124@gigasciencejournal.com,,EBI,true
125,test+gigadb125@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb125,OIST,user,t,f,t,,,,,test+gigadb125@gigasciencejournal.com,,EBI,true
126,test+gigadb126@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb126,University of Cambridge,user,f,f,t,,,,,test+gigadb126@gigasciencejournal.com,,EBI,true
127,test+gigadb127@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb127,Peking University,user,t,t,f,,,,,test+gigadb127@gigasciencejournal.com,,EBI,true
128,test+gigadb128@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb128,University of Milano,"",f,t,f,,,,,test+gigadb128@gigasciencejournal.com,,EBI,true
129,test+gigadb129@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb129,Ph.D. student,user,f,f,t,,,,,test+gigadb129@gigasciencejournal.com,,EBI,true
130,test+gigadb130@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb130,Ph.D. student,user,t,f,t,,,,,test+gigadb130@gigasciencejournal.com,,EBI,true
131,test+gigadb131@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb131,asfaer,user,f,f,t,,,,,test+gigadb131@gigasciencejournal.com,,EBI,true
132,test+gigadb132@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb132,Center for Research and Technology Hellas,user,t,t,f,,,,,test+gigadb132@gigasciencejournal.com,,EBI,true
133,test+gigadb133@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb133,Harvard University,user,t,f,t,,,,,test+gigadb133@gigasciencejournal.com,,EBI,true
134,test+gigadb134@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb134,Rice University,"",f,t,f,,,,,test+gigadb134@gigasciencejournal.com,,EBI,true
135,test+gigadb135@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb135,Colorado State University,user,t,f,t,,,,,test+gigadb135@gigasciencejournal.com,,EBI,true
139,test+gigadb139@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb139,Nankai University,user,t,f,t,,,,,test+gigadb139@gigasciencejournal.com,,EBI,true
140,test+gigadb140@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb140,analysist,user,t,t,f,,,,,test+gigadb140@gigasciencejournal.com,,EBI,true
141,test+gigadb141@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb141,fudan univer,user,t,t,f,,,,,test+gigadb141@gigasciencejournal.com,,EBI,true
142,test+gigadb142@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb142,CAS,user,t,t,f,,,,,test+gigadb142@gigasciencejournal.com,,EBI,true
143,test+gigadb143@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb143,CAS,user,f,t,f,,,,,test+gigadb143@gigasciencejournal.com,,EBI,true
144,test+gigadb144@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb144,nudt,user,f,t,f,,,,,test+gigadb144@gigasciencejournal.com,,EBI,true
145,test+gigadb145@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb145,Shanghai Jiao Tong University,user,t,f,t,,,,,test+gigadb145@gigasciencejournal.com,,EBI,true
146,test+gigadb146@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb146,GuangZhou meedical university,user,t,t,f,,,,,test+gigadb146@gigasciencejournal.com,,EBI,true
147,test+gigadb147@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb147,China Agricultural University,user,t,t,f,,,,,test+gigadb147@gigasciencejournal.com,,EBI,true
148,test+gigadb148@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb148,China Agricultural University,user,f,t,f,,,,,test+gigadb148@gigasciencejournal.com,,EBI,true
149,test+gigadb149@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb149,Harvard University,user,f,f,t,,,,,test+gigadb149@gigasciencejournal.com,,EBI,true
150,test+gigadb150@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb150,Harvard University,user,t,t,f,,,,,test+gigadb150@gigasciencejournal.com,,EBI,true
151,test+gigadb151@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb151,Harvard University,user,t,t,f,,,,,test+gigadb151@gigasciencejournal.com,,EBI,true
152,test+gigadb152@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb152,Nankai University,user,t,f,t,,,,,test+gigadb152@gigasciencejournal.com,,EBI,true
153,test+gigadb153@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb153,"IRRI (International Rice Research Institute, DAPO 7777, Metro Manila 1301, Philippines)","",f,t,f,,,,,test+gigadb153@gigasciencejournal.com,,EBI,true
154,test+gigadb154@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb154,IPS University of Bern,user,f,f,t,,,,,test+gigadb154@gigasciencejournal.com,,EBI,true
155,test+gigadb155@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb155,IPS University of Bern,user,t,f,t,,,,,test+gigadb155@gigasciencejournal.com,,EBI,true
156,test+gigadb156@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb156,University of Oradea,user,f,t,f,,,,,test+gigadb156@gigasciencejournal.com,,EBI,true
157,test+gigadb157@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb157,National Institutes of Health,user,t,f,t,,,,,test+gigadb157@gigasciencejournal.com,,EBI,true
158,test+gigadb158@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb158,home user,user,f,t,f,,,,,test+gigadb158@gigasciencejournal.com,,EBI,true
159,test+gigadb159@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb159,non affiliated,user,f,t,f,,,,,test+gigadb159@gigasciencejournal.com,,EBI,true
160,test+gigadb160@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb160,"The Genome Institute
Washington University School of Medicine,true
4444 Forest Park Blvd.
St Louis, MO 63108","",f,t,f,,,,,test+gigadb160@gigasciencejournal.com,,EBI,true
161,test+gigadb161@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb161,Medimmune,user,f,t,f,,,,,test+gigadb161@gigasciencejournal.com,,EBI,true
162,test+gigadb162@gigasciencejournal.com,5a4f75053077a32e681f81daa8792f95,test,gigadb162,Medimmune,user,f,t,f,,,,,test+gigadb162@gigasciencejournal.com,,EBI,true
